rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_model,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,warnings_count,real_obs_received,obs_with_noise,human_observables,task_status,who_succeeded,robot_model,immediate_reward,total_disc_reward,robot_belief
1.53593597336194E+018,1,0,"""HUMAN""",,1535935973,359005993,"""distracted_collaborative.POMDPx""",,1535935967,639752077,"""1""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','','','','',[]
1.53593597336194E+018,1,0,"""HUMAN""",,1535935973,359005993,"""distracted_collaborative.POMDPx""",,1535935968,639752077,"""1""","""NoAttention""","""TaskHuman""",True,0,'','',[],'','','','','',[]
1.53593597336194E+018,1,0,"""HUMAN""",,1535935973,359005993,"""distracted_collaborative.POMDPx""",,1535935969,639752077,"""1""","""NoAttention""","""TaskHuman""",True,0,'','',[],'','','','','',[]
1.53593597336194E+018,1,0,"""HUMAN""",,1535935973,359005993,"""distracted_collaborative.POMDPx""",,1535935970,639752077,"""1""","""NoAttention""","""TaskHuman""",True,0,'','',[],'','','','','',[]
1.53593597336194E+018,1,0,"""HUMAN""",,1535935973,359005993,"""distracted_collaborative.POMDPx""",,1535935971,639752077,"""1""","""NoAttention""","""TaskHuman""",True,0,'','',[],'','','','','',[]
1.53593597336194E+018,1,0,"""HUMAN""",,1535935973,359005993,"""distracted_collaborative.POMDPx""",,1535935972,639752077,"""1""","""NoAttention""","""TaskHuman""",True,0,'','',[],'','','','','',[]
1.53593597336194E+018,1,0,"""HUMAN""",,1535935973,359005993,"""distracted_collaborative.POMDPx""",,1535935973,639752077,"""1""","""NoAttention""","""TaskHuman""",True,0,'','',[],'','','','','',[]
1.5359359773485E+018,1,1,"""HUMAN""",,1535935977,346221183,"""distracted_collaborative.POMDPx""",,1535935974,438459720,"""1""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1.5359359773485E+018,1,1,"""HUMAN""",,1535935977,346221183,"""distracted_collaborative.POMDPx""",,1535935975,438459720,"""1""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1.5359359773485E+018,1,1,"""HUMAN""",,1535935977,346221183,"""distracted_collaborative.POMDPx""",,1535935976,438459720,"""1""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1.5359359773485E+018,1,1,"""HUMAN""",,1535935977,346221183,"""distracted_collaborative.POMDPx""",,1535935977,438459720,"""1""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1.53593598144442E+018,1,2,"""HUMAN""",,1535935981,442050178,"""distracted_collaborative.POMDPx""",,1535935978,423567687,"""1""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','','',[]
1.53593598144442E+018,1,2,"""HUMAN""",,1535935981,442050178,"""distracted_collaborative.POMDPx""",,1535935979,423567687,"""1""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','','',[]
1.53593598144442E+018,1,2,"""HUMAN""",,1535935981,442050178,"""distracted_collaborative.POMDPx""",,1535935980,423567687,"""1""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','','',[]
1.53593598144442E+018,1,2,"""HUMAN""",,1535935981,442050178,"""distracted_collaborative.POMDPx""",,1535935981,423567687,"""1""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','','',[]
1.53593598929736E+018,1,3,"""HUMAN""",,1535935989,295003416,"""distracted_collaborative.POMDPx""",,1535935982,513727918,"""1""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1.53593598929736E+018,1,3,"""HUMAN""",,1535935989,295003416,"""distracted_collaborative.POMDPx""",,1535935983,513727918,"""1""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1.53593598929736E+018,1,3,"""HUMAN""",,1535935989,295003416,"""distracted_collaborative.POMDPx""",,1535935984,513727918,"""1""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1.53593598929736E+018,1,3,"""HUMAN""",,1535935989,295003416,"""distracted_collaborative.POMDPx""",,1535935985,513727918,"""1""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1.53593598929736E+018,1,3,"""HUMAN""",,1535935989,295003416,"""distracted_collaborative.POMDPx""",,1535935986,513727918,"""1""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1.53593598929736E+018,1,3,"""HUMAN""",,1535935989,295003416,"""distracted_collaborative.POMDPx""",,1535935987,513727918,"""1""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1.53593598929736E+018,1,3,"""HUMAN""",,1535935989,295003416,"""distracted_collaborative.POMDPx""",,1535935988,513727918,"""1""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1.53593598929736E+018,1,3,"""HUMAN""",,1535935989,295003416,"""distracted_collaborative.POMDPx""",,1535935989,513727918,"""1""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1.53593599318874E+018,1,4,"""HUMAN""",,1535935993,186266237,"""distracted_collaborative.POMDPx""",,1535935990,376207342,"""1""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','','',[]
1.53593599318874E+018,1,4,"""HUMAN""",,1535935993,186266237,"""distracted_collaborative.POMDPx""",,1535935991,376207342,"""1""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','','',[]
1.53593599318874E+018,1,4,"""HUMAN""",,1535935993,186266237,"""distracted_collaborative.POMDPx""",,1535935992,376207342,"""1""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','','',[]
1.53593599318874E+018,1,4,"""HUMAN""",,1535935993,186266237,"""distracted_collaborative.POMDPx""",,1535935993,376207342,"""1""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','','',[]
1.53593599806115E+018,1,5,"""HUMAN""",,1535935998,59118520,"""distracted_collaborative.POMDPx""",,1535935994,257385855,"""2""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1.53593599806115E+018,1,5,"""HUMAN""",,1535935998,59118520,"""distracted_collaborative.POMDPx""",,1535935995,257385855,"""2""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1.53593599806115E+018,1,5,"""HUMAN""",,1535935998,59118520,"""distracted_collaborative.POMDPx""",,1535935996,257385855,"""2""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1.53593599806115E+018,1,5,"""HUMAN""",,1535935998,59118520,"""distracted_collaborative.POMDPx""",,1535935997,257385855,"""2""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1.53593599806115E+018,1,5,"""HUMAN""",,1535935998,59118520,"""distracted_collaborative.POMDPx""",,1535935998,257385855,"""2""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1.5359360019002E+018,1,6,"""HUMAN""",,1535936001,897855753,"""distracted_collaborative.POMDPx""",,1535935999,144654030,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','','',[]
1.5359360019002E+018,1,6,"""HUMAN""",,1535936001,897855753,"""distracted_collaborative.POMDPx""",,1535936000,144654030,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','','',[]
1.5359360019002E+018,1,6,"""HUMAN""",,1535936001,897855753,"""distracted_collaborative.POMDPx""",,1535936001,144654030,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','','',[]
1.53593600572432E+018,1,7,"""HUMAN""",,1535936005,721459331,"""distracted_collaborative.POMDPx""",,1535936002,962481263,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','','',[]
1.53593600572432E+018,1,7,"""HUMAN""",,1535936005,721459331,"""distracted_collaborative.POMDPx""",,1535936003,962481263,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','','',[]
1.53593600572432E+018,1,7,"""HUMAN""",,1535936005,721459331,"""distracted_collaborative.POMDPx""",,1535936004,962481263,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','','',[]
1.53593600572432E+018,1,7,"""HUMAN""",,1535936005,721459331,"""distracted_collaborative.POMDPx""",,1535936005,962481263,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','','',[]
1.53593600976453E+018,1,8,"""HUMAN""",,1535936009,762364487,"""distracted_collaborative.POMDPx""",,1535936006,804204029,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','','',[]
1.53593601804793E+018,1,9,"""HUMAN""",,1535936018,43298072,"""distracted_collaborative.POMDPx""",,1535936006,804204029,"""2""","""RobotInterfered""","""GlobalSuccess""",False,0,'','',[],'','','','','',[]
1.53593602930431E+018,2,0,"""HUMAN""",,1535936029,301149445,"""distracted_collaborative.POMDPx""",,1535936028,940913483,"""2""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','','','','',[]
1.53593602930431E+018,2,0,"""HUMAN""",,1535936029,301149445,"""distracted_collaborative.POMDPx""",,1535936029,940913483,"""2""","""Evaluating""","""TaskHuman""",True,0,'','',[],'','','','','',[]
1.5359360360213E+018,2,1,"""HUMAN""",,1535936036,18787468,"""distracted_collaborative.POMDPx""",,1535936030,369601899,"""1""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','','',[]
1.5359360360213E+018,2,1,"""HUMAN""",,1535936036,18787468,"""distracted_collaborative.POMDPx""",,1535936031,369601899,"""1""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','','',[]
1.5359360360213E+018,2,1,"""HUMAN""",,1535936036,18787468,"""distracted_collaborative.POMDPx""",,1535936032,369601899,"""1""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','','',[]
1.5359360360213E+018,2,1,"""HUMAN""",,1535936036,18787468,"""distracted_collaborative.POMDPx""",,1535936033,369601899,"""1""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','','',[]
1.5359360360213E+018,2,1,"""HUMAN""",,1535936036,18787468,"""distracted_collaborative.POMDPx""",,1535936034,369601899,"""1""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','','',[]
1.5359360360213E+018,2,1,"""HUMAN""",,1535936036,18787468,"""distracted_collaborative.POMDPx""",,1535936035,369601899,"""1""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','','',[]
1.5359360360213E+018,2,1,"""HUMAN""",,1535936036,18787468,"""distracted_collaborative.POMDPx""",,1535936036,369601899,"""1""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','','',[]
1.5359360408043E+018,2,2,"""HUMAN""",,1535936040,801942122,"""distracted_collaborative.POMDPx""",,1535936037,80340158,"""2""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1.5359360408043E+018,2,2,"""HUMAN""",,1535936040,801942122,"""distracted_collaborative.POMDPx""",,1535936038,80340158,"""2""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1.5359360408043E+018,2,2,"""HUMAN""",,1535936040,801942122,"""distracted_collaborative.POMDPx""",,1535936039,80340158,"""2""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1.5359360408043E+018,2,2,"""HUMAN""",,1535936040,801942122,"""distracted_collaborative.POMDPx""",,1535936040,80340158,"""2""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1.53593604440105E+018,2,3,"""HUMAN""",,1535936044,398514784,"""distracted_collaborative.POMDPx""",,1535936041,880882485,"""2""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1.53593604440105E+018,2,3,"""HUMAN""",,1535936044,398514784,"""distracted_collaborative.POMDPx""",,1535936042,880882485,"""2""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1.53593604440105E+018,2,3,"""HUMAN""",,1535936044,398514784,"""distracted_collaborative.POMDPx""",,1535936043,880882485,"""2""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1.53593604440105E+018,2,3,"""HUMAN""",,1535936044,398514784,"""distracted_collaborative.POMDPx""",,1535936044,880882485,"""2""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1.53593605201888E+018,2,4,"""HUMAN""",,1535936052,16518692,"""distracted_collaborative.POMDPx""",,1535936045,479876000,"""1""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1.53593605201888E+018,2,4,"""HUMAN""",,1535936052,16518692,"""distracted_collaborative.POMDPx""",,1535936046,479876000,"""1""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1.53593605201888E+018,2,4,"""HUMAN""",,1535936052,16518692,"""distracted_collaborative.POMDPx""",,1535936047,479876000,"""1""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1.53593605201888E+018,2,4,"""HUMAN""",,1535936052,16518692,"""distracted_collaborative.POMDPx""",,1535936048,479876000,"""1""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1.53593605201888E+018,2,4,"""HUMAN""",,1535936052,16518692,"""distracted_collaborative.POMDPx""",,1535936049,479876000,"""1""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1.53593605201888E+018,2,4,"""HUMAN""",,1535936052,16518692,"""distracted_collaborative.POMDPx""",,1535936050,479876000,"""1""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1.53593605201888E+018,2,4,"""HUMAN""",,1535936052,16518692,"""distracted_collaborative.POMDPx""",,1535936051,479876000,"""1""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
1.53593605201888E+018,2,4,"""HUMAN""",,1535936052,16518692,"""distracted_collaborative.POMDPx""",,1535936052,479876000,"""1""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','','',[]
